Record ID,Company name,Description,(COMPANY) LEAD STAGE,(COMPANY) LEAD CLASSIFICATION,LinkedIn Company Page,Website URL,Industry
18018330020,Impex Capital Group,"Impex Capital Group, based in Houston, TX, is a privately held real estate investment firm that owns and manages ~1.2 Billion in properties across the US, predominantly within Texas. The firm is vertically integrated with a deep focus on value-add / opportunistic acquisitions and strategic investments in multifamily, new development, senior living, commercial office, retail and hotel assets. ",Contact Established,BUYER,https://www.linkedin.com/company/impex-capital-group,impexcapitalgroup.com,Real Estate
17788472923,Vaquero Ventures,"Vaquero Ventures is a Fort Worth, Texas based commercial real estate firm, that can develop, provide capital, construction management services and manages an acquisition fund.",New (Potential Lead),BUYER,https://www.linkedin.com/company/vaquero-ventures,vaqueroventures.com,Real Estate
17776087365,CONTI Organization,"CONTI is a real estate investment company focused on the strategic acquisition, enhancement and operation of value-added, multifamily properties.",New (Potential Lead),BUYER,https://www.linkedin.com/company/the-conti-organization,conticapital.com,Real Estate
17775414041,Baceline Investments,"Founded in 2003, Baceline Investments, LLC is a Denver-based, privately held boutique real estate investment and management company that specializes in the acquisition, management, and sale of cash-flowing, necessity-based neighborhood shopping centers located in select secondary markets across America's Heartland. By avoiding high-priced and competitive commercial real estate markets on the coasts, Baceline's Heartland focus provides untapped investment opportunity. This unique geographic focus allows investors to better diversify their investment portfolio.",New (Potential Lead),BUYER,https://www.linkedin.com/company/baceline-investments,bacelineinvestments.com,Real Estate
17737098318,Taylor Derrick Capital,"Taylor Derrick Capital provides equity and debt capital for the acquisition and development of real estate projects and we have provided over $500 million throughout the Western United States since 2011. We have a transparent structure that includes an annual audit, a seasoned Board of Advisors and a reputable third party fund administrator. A pooled fund structure enables Taylor Derrick Capital to provide reliable financing in a quick and responsive manner. We always fund on time and honor committed terms. Our focus is a win-win philosophy that rewards repeat borrowers and development partners.",New (Potential Lead),BUYER,https://www.linkedin.com/company/taylor-derrick-capital-llc,taylorderrick.com,Real Estate
17632812360,Macerich,"Macerich is a real estate investment trust (REIT) that specializes in the acquisition, ownership, development, redevelopment, management, and leasing of regional and community/power shopping centers located throughout the United States.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/macerich,macerich.com,Real Estate
17598674772,Kite Realty,"CORPORATE PROFILE Kite Realty Group Trust, a real estate investment trust (REIT), engages in the ownership, operation, management, leasing, construction management, acquisition, redevelopment and development of neighborhood and community shopping ce...",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/kite-realty-group,kiterealty.com,Real Estate
17586875568,Location CRE,"Location CRE is a boutique real estate firm specializing in tenant representation, landlord representation, property acquisition and disposition.",New (Potential Lead),BUYER,https://www.linkedin.com/company/locationcre,locationcre.com,Real Estate
17558158427,Capital Insight Holdings,"Capital Insight is a nationally focused, family owned commercial real estate investment and development company based out of Los Angeles. 

Through disciplined investment fundamentals, Capital Insight invests for long term ownership in assets that define their markets. Through our vertically integrated approach with first-class leadership and technology, we are able to make quick and confident decisions in the assets we pursue and own. Due to our location being in Los Angeles, many of our owned assets are located in Southern California but we are actively pursuing property acquisitions nationwide. ",Onboarded,BUYER,https://www.linkedin.com/company/capitalinsight/,capitalinsightholdings.com,Real Estate
17422069063,"U.S. Realty Advisors, LLC","Founded in 1989, USRA is a leading single-tenant real estate investment and asset management firm, and a leader in transaction structuring, acquisition, finance, asset management and disposition. It has relationships with leading financial institutions, companies and senior executives. USRA's principals have acquired over $18 billion of single tenant assets ranging from large individual properties to large portfolios involving numerous properties leased to a single-tenant. Transactions have ranged in size from $10 million to $1.4 billion. USRA's current portfolio exceeds $2.4 billion of investments, including assets for USRA's own account, institutional investors, corporate clients and private families.",New (Potential Lead),BUYER,https://www.linkedin.com/company/u-s-realty-advisors-llc,https://usrealtyadvisors.com/,Commercial Real Estate
17421922106,Dalfen Industrial,"Dalfen Industrial is a real estate investment manager that specializes in the acquisition, development, and operation of industrial properties across the United States and Canada.",New (Potential Lead),BUYER,https://www.linkedin.com/company/dalfen-america-corp,https://www.dalfen.com/,Real Estate
17422804634,Carlyle Development Group,"SINCE 1982 Carlyle Development Group is a value driven, institutional quality real estate investment and development company established in 1982 on behalf of foreign family offices. Carlyle has since focused on acquisition of under-valued assets ...",New (Potential Lead),BUYER,https://www.linkedin.com/company/carlyle-development-group-inc,https://carlyle-usa.com/,Real Estate
17422024078,The Abbey Co.,"The Abbey Company (www.theabbeyco.com) was established in 1990 by Donald G. Abbey. The company is a vertically integrated real estate organization that handles its own acquisition, leasing, property management and construction services. The company´s investment program is focused on value-added commercial real estate, including office, industrial, business / commerce parks, and retail properties. The company is headquartered in Long Beach, Calif. at the Catalina Landing Office Complex, one of its recent investments.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/the-abbey-company,http://www.theabbeyco.com/,Real Estate
17421948303,Namdar Realty Group,"Namdar Realty Group is a privately held, commercial real estate investment firm, owning and managing over 31 million square feet of commercial real estate throughout the United States. Founded in 1999, Namdar started with a single acquisition of a small retail storefront in Long Island, NY.

It has since thrived to become one of the fastest growing private real estate investment firms in the country. It is continuing to grow at an unprecedented rate, averaging over 20 acquisitions annually over the last 4 years, consisting primarily of large retail malls, shopping centers, office and medical buildings.

Namdar Realty Group is a full service commercial real estate firm with over two decades in leasing, management and development with over 1,000 employees nationwide.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/unigem-group-corp,https://namdarllc.com/,Real Estate
17324006679,Ze-Nith,"Zenith is a predevelopment services and investment firm that specializes in opportunistic real estate acquisition, repositioning, and disposition.",New (Potential Lead),BUYER,https://www.linkedin.com/company/ze-nith,ze-nith.com,Real Estate
17322582684,Eller Capital Partners,"Eller Capital is a real estate agency which focuses on the acquisition, development and management of well-located multifamily assets throughout the Southeastern United States.",New (Potential Lead),BUYER,https://www.linkedin.com/company/eller-capital-partners,ellercapital.com,Real Estate
17270747904,Pelorus Capital Group Inc.,"Pelorus Capital Group offers a range of innovative transactional solutions addressing the diverse needs of real estate investors and portfolio managers. Our flexible acquisition and bridge lending programs are the direct result of our involvement in more than 4,700 transactions of varying size and complexity. Since 1991, our principals have participated in more than $1 billion of real estate investment transactions using both debt and equity solutions. We draw on our extensive experience to rapidly understand an opportunity, structure a logical solution and execute a timely close.
",Onboarded,BUYER,https://www.linkedin.com/company/pelorus-capital-group/about/,peloruscg.com,Real Estate
17140017830,Finger Interests,"Finger Interests is an investment management firm located in Houston, Texas. The firm specializes in those opportunities to which it may add both capital and expertise. In addition, the firm is involved in real estate development, business acquisition and merger consultation, business consultation, business management consultation, and business organizational consulting services. Jerry E. Finger and Jonathan S. Finger are managing partners of Finger Interests. They are private investors with over fifty years of combined operating experience in commercial banking, real estate finance and development, investment banking, fiduciary and investment management, and principal investing. Our office is located at: Finger Interests, Ltd. 520 Post Oak Boulevard, Suite 750 713-621-7525 phone 713-621-7552 fax Email: jonfinger@fingerinterests.com FINGER INTERESTS® is registered trademark of Finger Interests, Ltd.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/finger-interests,fingerinterests.com,Financial Services
16996501630,American Healthcare Investors,"American Healthcare Investors is an investment management firm that specializes in the acquisition and management of healthcare-related real estate. One of the world's largest managers of healthcare real estate, the company oversees an approximately 29 million-square-foot portfolio valued at more than $8.1 billion, based on aggregate purchase price, on behalf of multiple investment programs that include thousands of individual and institutional investors. As of December 31, 2016, this international portfolio includes approximately 600 buildings comprised of medical office buildings, hospitals, senior housing, skilled nursing facilities and integrated senior health campuses located throughout the United States and the United Kingdom. The company and its principals have completed approximately $25 billion in aggregate acquisition and disposition transactions, approximately $15 billion of which have been healthcare-related. American Healthcare Investors is committed to providing investors with access to the potential benefits that healthcare-related real estate ownership can provide.",New (Potential Lead),BUYER,https://www.linkedin.com/company/american-healthcare-investors,ahinvestors.com,Real Estate
16823601743,JLM Financial Investments,"Since our inception in 1992, JLM Financial Investments has been actively involved in the acquisition of both real estate secured bank debt and REO properties. Our firm purchases assets from a diverse array of sellers, including commercial banks, thrifts, credit unions, REITS, institutional investors, investment banks, insurance companies, commercial finance companies, and government entities.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/jlm-financial-investments,jlmfinancialinvestments.com,Real Estate
16736179584,The Picerne Group,"Founded in 1988 by Ken Picerne, The Picerne Group, Inc. is a real estate oriented investment company with particular expertise in the areas of: distressed debt investment, apartment acquisition & investment, apartment development, land development & en...",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/the-picerne-group,picernegroup.com,Financial Services
16496861216,Younger Partners,"Younger Partners is a full service real estate boutique providing investment, leasing, and management services to investors and tenants of office, industrial, and retail properties in the Dallas/Fort Worth region. We also specialize in the acquisition and disposition of land, multifamily, office, industrial, and retail properties. Our talented team of real estate professionals shares a singular focus: delivering lasting value for our clients. This creative group of specialists provides unique insights and solutions to some of the region's most challenging assignments. We work persistently to achieve success for our clients.",New (Potential Lead),BUYER,https://www.linkedin.com/company/younger-partners,youngerpartners.com,Real Estate
16497280662,JMG Capital Properties,"JMG Capital Properties is a privately owned real estate investment and management firm. Founded in 2017 by Matthew Grossman, JMG is focused on the acquisition and management of core-plus and value-add residential and mixed-use developments in ...",Onboarded,BUYER,https://www.linkedin.com/company/jmg-capital-properties,jmgcap.com,Commercial Real Estate
16237182593,The Michelson Organization,"The Michelson Organization is a real estate company that specializes in the management, leasing, acquisition, construction, and disposition of high-quality multifamily residential, office, and industrial properties.",New (Potential Lead),BUYER,https://www.linkedin.com/company/the-michelson-organization,michelsonrealty.com,Real Estate
16237182591,ALEXANDER FORREST INVESTMENTS,"We are experts in the acquisition, development, management and financing of real estate projects, with focus upon improving communities.",New (Potential Lead),BUYER,https://www.linkedin.com/company/alexander-forrest-investments-llc,alexanderforrest.com,Real Estate
16210476637,"Peterson Development, a Peterson Homes Company","Peterson Development was founded by Leon Peterson nearly 40 years ago. Since that time, the company has become known as a leader in commercial real estate construction, infrastructure development, land acquisition and sales, and entitlement. It's family-owned and operated with pride and confidence. Leon and his children are actually in the people business. The qualities of hard work, honesty and integrity have been the guiding forces behind the company through the years and are now guiding its newest division, Peterson Homes. Leon's 3 sons, Justin, Ryan and Barrett, lead Peterson Homes in building elegant, versatile, and customized homes in charming communities throughout the Salt Lake Valley. With new homes in four current communities moving at a brisk pace, the three brothers believe their development team has found the right mix of choice and charm, convenience and functionality to perfectly suit your discriminating taste.",Onboarded,BUYER,https://www.linkedin.com/company/leon-peterson-development-co,petersondevelopment.com,Real Estate
16057217882,Westwoodresidential,"As a full service real estate organization, The Westwood Companies offer expertise in real estate consulting, site selection and analysis, land acquisition, development, construction, marketing, leasing, management, financing and investment. While West...",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/westwood-residential-taylor-land-two-companies,westwoodresidential.com,Real Estate
16002343748,JF Capital,"JF Capital is a real estate acquisition, development, and investment firm based in Salt Lake City, Utah. They specialize in residential, multi-family, and senior housing transactions.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/jf-capital,jfcapital.com,Real Estate
16003022967,JF Capital,"JF Capital is a real estate acquisition, development, and investment firm based in Salt Lake City, Utah. They specialize in residential, multi-family, and senior housing transactions.",Emailed (Awaiting Reply),BUYER,https://www.linkedin.com/company/jf-capital,jfisherco.com,Real Estate
15994894206,BBX Capital Corporation,"BBX Capital Corporation (NYSE: BBX, OTCQX: BBXTB) is involved in the acquisition, ownership, management, joint ventures and investments in real estate and real estate development projects, as well as acquisitions, investments and management of middle m...",Onboarded,BUYER,https://www.linkedin.com/company/bbx-capital,bbxcapital.com,Real Estate
15975395949,One Real Estate Investment,"One Real Estate Investment is a privately owned Miami-based real estate investment company that owns, manages and develops a growing portfolio of multi-family properties, single family homes, residential high-end buildings and commercial and retail properties. With headquarters located on Brickell Avenue, the City of Miami’s most important international financial center, One Real Estate Investment’s platform embraces all aspects of real estate including acquisition, financing, property management, construction, repositioning, and disposition",New (Potential Lead),BUYER,https://www.linkedin.com/company/one-real-estate-investment-orei,onerealestateinvestment.com,Real Estate
15845957953,Alterna TAX ASSET GROUP,Alterna Capital Management is a real estate investment management company which specialize in the acquisition and management of municipal tax lien certificates and commercial real estate debt.,New (Potential Lead),BUYER,https://www.linkedin.com/company/alterna-capital-management,alternacap.com,Real Estate
15802806087,Alterra Property Group,"Alterra Property Group is a real estate investment, development, and management company based in Philadelphia, PA. The company handles all aspects of real estate development, investment, and management, including acquisition, entitlement, project/const...",New (Potential Lead),BUYER,https://www.linkedin.com/company/alterraproperty,alterraproperty.com,Real Estate
